productUrl,price,originalPrice,numberOfSKUs
//www.lazada.co.th/products/kissbeauty-unicorn-lipstick-i385598487-s753674901.html?search=1,125.00,250.00,1
//www.lazada.co.th/products/sasi-xoxo-liquid-lip-lipmatt-sasi-lip-lip-sasi-i242079705-s371037649.html?search=1,139.00,,10
//www.lazada.co.th/products/no5095-novo-double-color-lipstick-i341864493-s663780332.html?search=1,39.00,78.00,9
//www.lazada.co.th/products/sivanna-colors-diamond-velvet-matte-lipstick-4g-hf6019-i291460726-s484306339.html?search=1,89.00,125.00,10
//www.lazada.co.th/products/heng-fang-lip-gloss-6-6-lip-i684062795-s1320276124.html?search=1,99.00,170.00,1
//www.lazada.co.th/products/stila-8-8stila-8-3244-i621528875-s1185384937.html?search=1,79.00,299.00,1
//www.lazada.co.th/products/in2it-lip-liquid-matte-16-i363716131-s1286962092.html?search=1,49.00,129.00,18
//www.lazada.co.th/products/mac-love-me-lipstick-i364936420-s712656658.html?search=1,890.00,,24
//www.lazada.co.th/products/bobbi-brown-crushed-lip-color-lipstick-34gm-i328182438-s628420660.html?search=1,1250.00,,23
//www.lazada.co.th/products/sivanna-silk-matt-lip-hf360-x-1-abcmall-i339282188-s657622808.html?search=1,35.00,95.00,12
//www.lazada.co.th/products/mini-66-i383632350-s745108513.html?search=1,89.00,,1
//www.lazada.co.th/products/3-peinifen-lip-i416216952-s799852921.html?search=1,99.00,190.00,1
//www.lazada.co.th/products/lip-balm-i280217047-s453104425.html?search=1,59.00,199.00,3
//www.lazada.co.th/products/kiss-beauty-55-i493836493-s882294528.html?search=1,109.00,,1
//www.lazada.co.th/products/innisfree-vivid-cotton-ink-4g-i238749426-s442554082.html?search=1,380.00,,11
//www.lazada.co.th/products/la02-2-4g35g-new-lipgloss-matte-color-for-women-brand-lips-cosmetics-waterproof-long-lasting-lipstick-matte-makeup-cokkicosmtic-cokki-i259652006-s399940089.html?search=1,59.00,199.00,9
//www.lazada.co.th/products/15-4u2-love-me-harder-2-liquid-matte-lipstick-i338438950-s655790449.html?search=1,115.00,199.00,15
//www.lazada.co.th/products/ziranmi-ambilight-moisturizing-lipstick-35g-i350478554-s685324816.html?search=1,29.00,49.00,8
//www.lazada.co.th/products/liplover-08-tint-matte-i230210038-s352370824.html?search=1,59.00,99.00,1
//www.lazada.co.th/products/ashley-princess-lipstick-i699372603-s1340154719.html?search=1,75.00,,6
//www.lazada.co.th/products/5-5-i525776801-s941604219.html?search=1,125.00,250.00,1
//www.lazada.co.th/products/-i479122392-s869246254.html?search=1,25.00,,1
//www.lazada.co.th/products/romantic-beauty-super-stay-matte-ink-no6943-i277256307-s443316549.html?search=1,79.00,,5
//www.lazada.co.th/products/jcat-the-big-lip-pencil-blp201-blp212-i514016347-s913550302.html?search=1,150.00,220.00,9
//www.lazada.co.th/products/kailijumei-jelly-lipstick-flamered-i11213408-s13997621.html?search=1,80.00,390.00,1
//www.lazada.co.th/products/63-2-a3-b-3-lipstick-i422804768-s1108480858.html?search=1,63.00,130.00,2
//www.lazada.co.th/products/kiss-beauty-longlasting-55-i563436527-s1032376682.html?search=1,109.00,,1
//www.lazada.co.th/products/maybelline-super-stay-matte-ink-city-12-i280814892-s455292795.html?search=1,179.00,249.00,12
//www.lazada.co.th/products/mood-recipe-lip-color-mini-kit-1-voox-i221387053-s337716330.html?search=1,52.00,199.00,2
//www.lazada.co.th/products/stila-8-6-i347068352-s1355262196.html?search=1,75.00,290.00,2
//www.lazada.co.th/products/binmei-jelly-8198-i676378674-s1313486165.html?search=1,19.00,,6
//www.lazada.co.th/products/qianxiu-q135-1-10-small-suit-a-box-of-small-lipstick-mini-not-easy-to-fade-mini-lipstick-mini-10-cokkicosmetic-i233123721-s594976741.html?search=1,79.00,169.00,1
//www.lazada.co.th/products/blackpink-baby-bright-plankton-matte-cushion-lip-moist-tint-100zaab-fashion-2-i369110711-s721326433.html?search=1,99.00,149.00,9
//www.lazada.co.th/products/chomnita-matte-lip-color-8-4-i340482395-s660122907.html?search=1,69.00,99.00,12
//www.lazada.co.th/products/naree-velvet-matte-creamy-lip-colors-hejhej-street-beauty-i317260949-s595808643.html?search=1,99.00,199.00,29
//www.lazada.co.th/products/sivanna-colors-matte-stay-lipstick-kiss-me-hf688-i170729019-s212853051.html?search=1,49.00,116.00,15
//www.lazada.co.th/products/mansly-m153-lipstick-i326316967-s622016058.html?search=1,49,209.00,12
//www.lazada.co.th/products/1-i264232067-s409782035.html?search=1,50.00,199.00,1
//www.lazada.co.th/products/srichand-everyday-matte-lipstick-34g-0400-early-bird-i332496500-s640878887.html?search=1,149.00,199.00,1
//www.lazada.co.th/products/10-sasi-xoxo-liquid-matte-lip-by-srichand-i294564495-s510958462.html?search=1,99.00,139.00,10
//www.lazada.co.th/products/125-6-i551466400-s1003206422.html?search=1,119.00,180.09,1
//www.lazada.co.th/products/5set-diy-i502436001-s891980571.html?search=1,7.00,15.00,1
//www.lazada.co.th/products/mac-satin-lipstick-mocha-i334280925-s647320059.html?search=1,440.00,799.00,1
//www.lazada.co.th/products/jordana-twist-and-shine-balm-stain-07-rock-n-rouge-i237187392-s363795245.html?search=1,98.00,,1
//www.lazada.co.th/products/sivanna-gina-glam-valvet-matte-lipstick-g37-043-i173762946-s358854243.html?search=1,75.00,200.00,12
//www.lazada.co.th/products/dior-addict-lip-glow-001-i371448951-s725060499.html?search=1,620.00,1490.00,1
//www.lazada.co.th/products/lip-gogotales-lip-glaze-tint-i343784663-s669342942.html?search=1,120.00,,1
//www.lazada.co.th/products/sivanna-colors-soft-matte-lip-cream-lip-gloss-hf359-3-sivanna-i263334597-s406930315.html?search=1,99.00,150.00,6
